row;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;Wifi;AC;Beachfront;Garden;Ocean View;Netflix;Pet Friendly;Balcony;Parking;Terrace;Swimming Pool;Mountain View;TV;Lake View;Gym;Breakfast Included;Patio
13;Peaceful Perfect Location;1430540;Trish;Western Australia;FREMANTLE;-32.05854;115.75032;Private room;70;3;335;2024-05-29;2.26;4;3;23;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0
14;Extra large room AC NBN WiFi;1548293;Yan;Western Australia;GOSNELLS;-32.03238;115.958;Private room;80;7;7;2023-08-27;0.05;7;364;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Silver Street Studios Fremantles unique retreat;1576058;Judy;Western Australia;FREMANTLE;-32.06388;115.75145;Entire home/apt;351;4;34;2024-04-28;0.6;1;232;11;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0
16;Cool king single by Yule Brook WiFi;1548293;Yan;Western Australia;GOSNELLS;-32.03238;115.958;Private room;45;7;15;2024-01-31;0.1;7;364;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;Fully refurbished Self contained furnished Studio;1621815;Phoebe;Western Australia;MELVILLE;-32.02918;115.83177;Private room;75;5;54;2024-06-15;0.4;1;236;24;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0
18;Foreshore Apt 109 Great location;1767860;Jenni;Western Australia;ALBANY;-35.02808748543544;117.88728588114829;Entire home/apt;102;1;600;2024-06-15;3.99;1;125;60;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0
19;Balneaire Seven;1834803;Barbara;Western Australia;ALBANY;-35.02647;117.91196;Entire home/apt;263;2;180;2024-05-06;2.01;1;283;19;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0
20;Standard queen room AC NBN;1548293;Yan;Western Australia;GOSNELLS;-32.03238;115.958;Private room;60;7;7;2022-11-30;0.05;7;360;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Relaxing Spa 10 min from the City;1937593;Chantelle & Lance;Western Australia;CANNING;-32.01531;115.90725;Entire home/apt;800;2;38;2015-12-08;0.26;1;364;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0
22;Eclectic Room for Vegan Guests;1724505;Linda;Western Australia;VINCENT;-31.93955;115.88106;Private room;82;3;68;2024-04-16;0.47;1;145;9;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0
23;Peaceful large queen room by creek;1548293;Yan;Western Australia;GOSNELLS;-32.03238;115.958;Private room;70;7;13;2024-03-15;0.1;7;364;2;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1
24;Beachside HousePrevelly VillasMargaret River;2659891;Deirdre And Peter;Western Australia;AUGUSTA-MARGARET RIVER;-33.97929;114.99392;Entire home/apt;282;2;52;2024-06-24;0.41;1;117;11;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1
25;Rose on Surrey  Bed and Breakfast;2716604;Michele;Western Australia;BELMONT;-31.95872;115.90648;Private room;128;2;165;2024-06-12;1.13;1;235;18;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0
26;Cape Illawarra  Rural Retreat 2 minutes to town;2785721;Geri & Greg;Western Australia;AUGUSTA-MARGARET RIVER;-33.95071;115.05845;Entire home/apt;229;3;33;2024-06-02;0.23;1;299;2;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1
27;Lennys Home SweetHome;2559435;Lenny;Western Australia;GOSNELLS;-32.07493;115.99251;Private room;67;3;29;2024-01-12;0.21;1;171;9;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0
28;Semi Detached Suite  Close to City;2901891;Annette;Western Australia;VINCENT;-31.92219;115.85459;Entire home/apt;119;2;418;2024-06-23;2.89;1;75;34;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0
29;COZY RETRO STYLE Duplex Perth;2939181;Rika;Western Australia;SOUTH PERTH;-31.98224;115.88972;Entire home/apt;159;2;767;2024-06-11;5.39;1;100;44;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1
30;Naturelovers paradise 20min to CBD;1548293;Yan;Western Australia;GOSNELLS;-32.03238;115.958;Private room;70;6;11;2022-11-06;0.08;7;365;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1
31;Family HomeDeluxe  IdealFREE WIFI  GIFTS;3339927;Amirah;Western Australia;CANNING;-32.0747;115.92076;Entire home/apt;270;3;16;2024-04-05;0.17;6;364;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Comfy queen room by creek AC NBN;1548293;Yan;Western Australia;GOSNELLS;-32.03294;115.95893;Private room;60;6;11;2021-09-06;0.08;7;364;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Leafy Courtyard Aptmt Mt Lawley;3374886;Geoff & Lyn;Western Australia;STIRLING;-31.93114;115.88001;Entire home/apt;100;3;263;2024-06-24;1.83;1;223;30;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0
34;The Coach House  Rustic Charm   Pool;3383167;Noelene;Western Australia;SUBIACO;-31.95027;115.82182;Entire home/apt;160;5;111;2024-06-07;0.77;1;323;16;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0
35;Black George House Country Retreat;3455563;Gordon;Western Australia;MANJIMUP;-34.31541;116.17555;Entire home/apt;160;2;542;2024-06-23;3.81;1;266;56;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0
36;John  LynsQuiet Family Home;793327;Lyn & John;Western Australia;JOONDALUP;-31.7583;115.75701;Private room;50;2;139;2024-05-11;0.98;2;300;36;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0
37;Perth Pearsall Flat 23km from City;1556947;Amber And Theresa;Western Australia;WANNEROO;-31.77848;115.81232;Entire home/apt;119;6;104;2024-04-18;0.74;1;336;14;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0
38;Kambarang Ecocabin;3632460;Sherry (And Barrie);Western Australia;DONNYBROOK-BALINGUP;-33.56055;115.98534;Entire home/apt;164;2;168;2023-05-21;1.2;1;180;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0
39;Beachfront the WEDGE on the beach  Mandurah;3671146;Denise & Barry;Western Australia;MANDURAH;-32.52651;115.6957;Entire home/apt;376;4;25;2024-04-25;0.21;2;262;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;Room single bed Upmarket near beaches;3754542;Margaret;Western Australia;STIRLING;-31.91586;115.7777;Private room;65;4;59;2024-05-16;0.42;7;245;3;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
41;Viewport Apartment  Fremantle;3808149;Jo;Western Australia;FREMANTLE;-32.051980067565;115.7558262348175;Entire home/apt;100;4;196;2021-06-29;1.39;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
42;Mt Lawley Garden Apt;3925559;Lina;Western Australia;STIRLING;-31.92343;115.87968;Entire home/apt;150;4;139;2024-06-15;0.99;2;235;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Four on Whatley Perth Maylands flat;512735;Sigrid;Western Australia;BAYSWATER;-31.9288;115.89198;Entire home/apt;105;7;58;2024-06-18;0.46;3;229;13;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1
44;Seaside Short Term Rental Apartment;4011409;Wendy;Western Australia;JOONDALUP;-31.83336;115.75076;Entire home/apt;73;14;150;2024-01-30;1.08;1;189;8;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0
45;Oceanview 1 bed Spa Suite Quality Resort Sorrento;4153323;Andrew;Western Australia;JOONDALUP;-31.83072;115.74696;Entire home/apt;268;3;33;2024-05-03;0.43;6;284;8;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0
46;Ocean view Hotel Studio at Quality Resort Sorrento;4153323;Andrew;Western Australia;JOONDALUP;-31.83072;115.74696;Hotel room;220;3;5;2024-01-06;0.06;6;279;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
47;2 Bedroom Apartment at Quality Resort Sorrento;4153323;Andrew;Western Australia;JOONDALUP;-31.83073;115.74915;Entire home/apt;270;3;104;2024-04-14;0.83;6;270;16;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
48;Bayswater Views Holiday House;4223738;Kathryn;Western Australia;BAYSWATER;-31.92529;115.91314;Entire home/apt;200;4;84;2024-02-26;0.63;1;0;12;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
49;North Freo Chicexecutive house  Wifi  NETFLIX;4266413;Jennifer;Western Australia;FREMANTLE;-32.03368;115.75259;Entire home/apt;300;5;129;2024-02-10;1.01;1;125;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
50;Magnificent Water Front Home;3232652;Barry & Viv;Western Australia;MELVILLE;-32.03338;115.85327;Entire home/apt;460;20;190;2020-02-19;1.37;1;365;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0
51;An Ocean View HillarysSorrenVilla;4284891;Kathy;Western Australia;JOONDALUP;-31.82929;115.74904;Entire home/apt;175;3;80;2024-06-18;0.62;1;173;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
52;Peaceful and secured apartment in the city center;3512722;Jemma;Western Australia;PERTH;-31.95296;115.85607;Entire home/apt;156;2;423;2024-06-10;3.01;2;142;33;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0
53;Cosy 2Bdrm Cottage big Backyard for Kids  FurKids;4415443;Claire;Western Australia;SOUTH PERTH;-31.98066520690918;115.88752746582033;Entire home/apt;180;4;215;2024-06-04;1.67;1;148;18;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0
54;South Fremantle Cafes  Beach;4519171;Karina;Western Australia;FREMANTLE;-32.07055;115.76281;Entire home/apt;131;7;131;2024-05-14;0.95;1;233;7;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
55;COZY 3 Double Bed Airprt Pickup Bull Creek Train;4570709;Amy'S Homestay;Western Australia;CANNING;-32.04474617593193;115.87342530505248;Private room;56;2;202;2024-05-11;1.49;6;305;16;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0
56;The Swan  Park  River Views next to Perth Zoo;4970928;Louise & Jenny;Western Australia;SOUTH PERTH;-31.976343154907227;115.85882568359376;Entire home/apt;177;2;282;2024-06-09;2.24;3;89;54;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1
57;The Gums Garden Apartment City Beach Perth;4811719;Chris & Vivien;Western Australia;CAMBRIDGE;-31.94543;115.75952;Entire home/apt;185;3;93;2024-05-25;0.67;1;236;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
58;Tuscan Delight Private Suite;4900907;Brenda;Western Australia;CLAREMONT;-31.97001;115.78906;Entire home/apt;125;2;107;2024-05-26;0.79;3;247;10;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0
59;The Woodshack  Cosy family home;1415497;John;Western Australia;JOONDALUP;-31.76769;115.75543;Private room;50;2;108;2024-06-07;0.79;1;89;16;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0
60;Fremantle Gasworks Apartment;5000938;Garth;Western Australia;FREMANTLE;-32.05365;115.74625;Entire home/apt;270;3;133;2020-10-16;0.99;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1
61;Cosy  cool Scarborough beach house 1 room;5154824;Susan;Western Australia;STIRLING;-31.89141;115.77137;Private room;88;2;7;2019-01-16;0.05;1;60;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1
62;Tuscan Delight in Perths West;4900907;Brenda;Western Australia;CLAREMONT;-31.96943;115.78791;Entire home/apt;98;2;135;2024-05-05;1.0;3;267;13;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0
63;Double Room Upmarket Suburb close city beaches;3754542;Margaret;Western Australia;STIRLING;-31.91616;115.77793;Private room;75;3;81;2024-04-03;0.62;7;358;6;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0
64;Peppi Grove Beach Limestone Retreat;5357894;Karen;Western Australia;CAPEL;-33.53068;115.50551;Entire home/apt;153;2;383;2024-01-23;2.79;1;9;19;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0
65;Chester Villa;5495612;Jennifer;Western Australia;FREMANTLE;-32.07158;115.75512;Entire home/apt;204;3;80;2024-06-01;0.61;1;122;17;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0
66;Funky Fremantle selfcontained Studio;5594513;Adele;Western Australia;FREMANTLE;-32.06125;115.75739;Entire home/apt;129;2;394;2024-06-03;3.39;1;65;39;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1
67;Luxury on a Budget for two;5745887;Carmen;Western Australia;JOONDALUP;-31.80262;115.75021;Private room;132;2;43;2023-09-22;0.34;8;364;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
68;MY SPANISH ESCAPADE Pets welcome;5745887;Carmen;Western Australia;JOONDALUP;-31.80247;115.75052;Private room;135;2;23;2022-11-21;0.17;8;365;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0
69;The Spanish Guesthouse Priv Bath Min 2 Nites;5745887;Carmen;Western Australia;JOONDALUP;-31.80234;115.75013;Private room;139;2;41;2023-01-22;0.34;8;365;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0
70;Cedar Cottage;5906880;Heather;Western Australia;STIRLING;-31.89196;115.79594;Entire home/apt;140;7;18;2024-05-05;0.21;1;238;5;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0
71;Grunters Beach House beaches wineries  cafes;5931511;Tracy;Western Australia;AUGUSTA-MARGARET RIVER;-33.99536;114.99975;Entire home/apt;395;3;100;2024-06-23;0.79;1;264;12;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0
72;Beautiful Cottage in Dwellingup;5961054;Robert;Western Australia;MURRAY;-32.71157;116.06081;Entire home/apt;190;1;301;2024-06-23;3.21;2;314;74;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0
73;Gold room in Astoria Retreat BB Perth;5984984;Natalie;Western Australia;WANNEROO;-31.82967185974121;115.86812591552734;Private room;179;1;1;2024-05-03;0.55;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
74;Suburban hang out amongst the trees;6115114;Shaun;Western Australia;GOSNELLS;-32.0491;115.96087;Private room;52;5;68;2024-03-11;0.52;1;320;6;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
75;close to shops city  airport wifi;3470549;Bree;Western Australia;BAYSWATER;-31.8969;115.89623;Entire home/apt;85;2;40;2015-07-16;0.3;1;77;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;Marthas Rest  The Garden Suite;6172414;Lyn;Western Australia;FREMANTLE;-32.06577;115.7584;Private room;95;2;93;2024-06-22;0.72;3;293;22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Marthas Rest  The Ocean Suite;6172414;Lyn;Western Australia;FREMANTLE;-32.06257;115.75798;Private room;100;3;72;2024-06-23;0.56;3;253;23;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
78;Peaceful home and organic gardens;893264;Penny;Western Australia;BASSENDEAN;-31.89648;115.95156;Private room;67;2;80;2024-06-21;0.59;1;297;33;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0
79;The Hideaway;3377184;Te-NeeleAndKane;Western Australia;BELMONT;-31.93508;115.94283;Entire home/apt;134;1;998;2024-06-17;7.41;1;131;60;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0
80;Cosy Bedroom with own bathroom;6592108;Gwen;Western Australia;WANNEROO;-31.72167;115.78714;Private room;50;2;20;2024-01-29;0.16;1;203;10;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0
81;Rustic restored cottage overlooking Balingup;6728202;Al;Western Australia;DONNYBROOK-BALINGUP;-33.75909;115.98027;Entire home/apt;168;2;106;2024-03-24;1.8;1;314;12;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0
82;Charming House in Heart of Subiaco;6733465;Valerie;Western Australia;SUBIACO;-31.95565;115.81962;Entire home/apt;325;3;22;2024-05-28;1.24;1;4;12;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0
83;Beach house in Trigg Perth;6949912;Alison;Western Australia;STIRLING;-31.87035;115.75564;Entire home/apt;130;3;102;2024-06-21;0.76;1;38;18;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1
84;Paradise on the Murray River;7255000;Geoff;Western Australia;MURRAY;-32.58354;115.7824;Entire home/apt;300;2;109;2024-05-05;0.88;1;296;20;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1
85;Forrest Tranquility  Privacy;7467101;Kathleen;Western Australia;BRIDGETOWN-GREENBUSHES;-34.0337;116.23242;Entire home/apt;130;1;174;2024-06-23;1.36;1;65;29;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1
86;Augusta Holiday House;7661339;Rachel;Western Australia;AUGUSTA-MARGARET RIVER;-34.30835;115.15683;Entire home/apt;211;2;29;2024-06-03;0.23;1;344;7;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0
87;Luxury Private Room 8 mins to City;8147988;Sharon;Western Australia;SOUTH PERTH;-32.00673;115.87389;Private room;110;1;49;2024-05-20;0.37;1;268;14;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0
88;Daydream by the Sea;8511059;Robert;Western Australia;MANDURAH;-32.54742;115.68546;Entire home/apt;150;90;10;2024-05-12;0.58;1;209;3;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0
89;Double rm  Vic Pk end of Burswood;8557399;Kate;Western Australia;VICTORIA PARK;-31.97221;115.8961;Private room;56;1;111;2024-06-16;0.88;2;12;35;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0
90;Eagles Nest Lookout Bungalow Ocean Beach;8618913;John;Western Australia;DENMARK;-35.007;117.32367;Entire home/apt;163;2;317;2024-04-13;2.55;2;283;19;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1
91;Your private space near everything;8145217;Noelle;Western Australia;FREMANTLE;-32.05931;115.74865;Entire home/apt;195;3;178;2024-06-16;1.36;1;144;17;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1
92;Fremantle Garden Cottage;8766429;SmartStayWA;Western Australia;FREMANTLE;-32.05957;115.77478;Entire home/apt;104;1;56;2022-02-21;0.43;70;95;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
93;Allora Apartment Applecross;827051;Carol;Western Australia;MELVILLE;-32.00977;115.83652;Entire home/apt;160;2;96;2024-05-12;0.74;2;29;6;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1
94;Quenda Luxury Nature Getaway  Perth Hills;3992964;Claire And Jeremy;Western Australia;MUNDARING;-31.87911;116.12512;Private room;220;2;109;2024-06-09;1.05;3;124;16;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1
95;Kalbarri At Resort;4900907;Brenda;Western Australia;NORTHAMPTON;-27.70233;114.16988;Entire home/apt;190;2;61;2024-06-02;0.48;3;328;10;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0
96;BRIGHT friendly Hire car airport pickupbicycle;4570709;Amy'S Homestay;Western Australia;CANNING;-32.0439998860688;115.87307911472593;Private room;49;2;142;2024-04-27;1.1;6;343;12;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0
97;Zamia House ocean views Injidup;479752;Jani;Western Australia;BUSSELTON;-33.69528;115.00964;Entire home/apt;370;2;75;2024-06-03;0.58;1;285;10;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0
98;King Single Rm3 Upmarket Suburb Close to Beaches;3754542;Margaret;Western Australia;STIRLING;-31.91586;115.7777;Private room;65;3;20;2024-01-19;0.15;7;364;2;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0
99;Soothing nature all the comforts;9602986;Brian;Western Australia;NANNUP;-34.07643;115.79588;Entire home/apt;395;2;91;2024-05-12;0.71;2;265;16;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0
100;Top rated central location private;9604058;Marg;Western Australia;SOUTH PERTH;-32.00092;115.8597;Entire home/apt;240;2;27;2024-04-11;0.24;1;91;5;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0
101;The Spanish Lodge Continental Breakfast;5745887;Carmen;Western Australia;JOONDALUP;-31.80234;115.7503;Private room;132;2;8;2024-02-27;0.07;8;365;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0
102;Secluded Bush Retreat;9887680;Corrynne;Western Australia;BUSSELTON;-33.66395;115.09003;Entire home/apt;1000;3;40;2014-12-22;0.31;1;90;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0
103;Charming bright nearcity cottage;9912092;Tim And Rosemary;Western Australia;VINCENT;-31.93085;115.85111;Entire home/apt;140;2;302;2024-06-23;2.42;1;156;44;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1
104;Ocean Keys Cottage  Town Centre  Free WiFi;10003471;Andrew;Western Australia;WANNEROO;-31.68982;115.72129;Entire home/apt;243;7;204;2024-06-05;1.7;1;61;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;Champion Bay Apartments;7994868;Dean;Western Australia;GREATER GERALDTON;-28.76631;114.61575;Entire home/apt;197;2;130;2024-05-26;1.09;1;48;15;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
106;Spacious 2 BD Villa 2km from CBD;10064594;Jan;Western Australia;VICTORIA PARK;-31.97437;115.88495;Entire home/apt;120;3;137;2024-06-22;1.11;1;16;28;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0
107;Beach front 4x2 in Beresford with Pool;10165039;Stef;Western Australia;GREATER GERALDTON;-28.75341;114.61929;Entire home/apt;550;3;57;2023-12-11;0.52;5;279;4;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1
108;Modern comfortable home near beach;4956783;Nick;Western Australia;STIRLING;-31.86268;115.76371;Private room;75;2;85;2024-06-19;0.67;1;249;16;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0
109;Darby House;10264824;Anthony;Western Australia;BAYSWATER;-31.9283;115.90587;Entire home/apt;429;2;94;2024-06-14;6.44;1;128;78;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1
110;Karinya Family Suite;10267237;Carolyn & Tony;Western Australia;ARMADALE;-32.15367;115.97191;Entire home/apt;263;6;4;2023-01-09;0.07;2;316;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0
111;Fabulous Beachside Villa;10352240;Cathy;Western Australia;BUSSELTON;-33.6588;115.27964;Entire home/apt;291;3;62;2024-04-28;0.52;1;249;7;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0
112;Queen Bed in Private Room near Perth Airport;10374452;Rhea;Western Australia;CANNING;-32.00487;115.95719;Private room;80;2;144;2024-06-24;2.17;8;271;41;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
113;QUBIS 4 Getting away to it all;10162627;David;Western Australia;VINCENT;-31.94319;115.86832;Entire home/apt;299;4;12;2016-04-01;0.1;4;145;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0
114;Upmarket Room 1 close City beaches;3754542;Margaret;Western Australia;STIRLING;-31.91586;115.7777;Private room;95;4;28;2024-03-05;0.22;7;286;2;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0
115;2 Bedroom1 Bathroom Apartment;10629754;Gavin & Jo;Western Australia;PERTH;-31.95447;115.84726;Entire home/apt;302;1;98;2024-06-22;0.77;4;275;6;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0
116;Como House BB Executive Spacious;3510137;Kate;Western Australia;SOUTH PERTH;-31.99529;115.87295;Private room;175;2;125;2024-04-22;0.98;4;303;12;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1
117;The Unique Railway Carriage;10320645;Suzie;Western Australia;IRWIN;-29.24988;114.93126;Private room;150;2;50;2024-01-05;0.41;2;365;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1
